METID,Name,Mass,Height,RT,Area,Score,Ions,EXPID,td,to,te,fio,fik,pH,tg,Temp,Mod,F,pHs,pHo,alpha1,alpha2
188,1-Benzylimidazole,158.0845,882873,2.966,9833385,87.41,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
233,1-Methyl-L-histidine,169.0849,70582,0.547,309239,78.76,3,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
102,1-Methyladenosine,281.113,968887,0.614,5837825,84.77,5,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
177,1p3-Diphenyl-2-propenone,208.0895,647956,18.599,5056607,78.17,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
261,2-BFI hydrochloride,186.0798,4143844,4.288,28647426,97.66,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
192,2-Nitrobenzoic acid,167.0236,6488,4.131,51767,72.1,3,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
105,3-Hydroxybenzoic acid,138.0323,7193,15.508,54185,83.27,2,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
193,3-Nitrobenzoic acid,167.0236,6488,4.131,51767,72.1,3,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
267,3-methyluridine,258.0852,31046,0.838,161314,83.95,3,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
181,4-Hexylbenzoic acid,206.1306,143135,18.689,1037344,86.81,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
135,AGN192403 hydrochloride,153.1513,4306,8.565,63867,96.5,3,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
135,AGN192403 hydrochloride,153.1516,5001,8.274,37791,87.37,2,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
135,AGN192403 hydrochloride,153.152,1137238,7.401,6768819,98.53,3,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
135,AGN192403 hydrochloride,153.1512,12115,6.774,60242,93.95,3,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
265,ARC 239 dihydrochloride,407.2212,8383637,12.933,50620722,99.43,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
133,Acebutolol hydrochloride,336.2053,7187580,7.11,36238536,98.99,6,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
286,Acenocoumarol,353.0902,1271154,16.292,8265436,98.33,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
248,Acetazolamide,221.9887,8163,1.958,80948,84,3,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
145,Acetylsalicylic acid,180.0444,5999,0.973,30862,70.95,3,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
17,Acridine,179.0736,702004,4.646,4938453,87.24,2,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
138,Agmatine sulfate,130.122,733984,0.525,3310461,87.01,3,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
