td,to,te,fio,fik,pH,tg,Temp,Mod,F,pHs,pHo,alpha1,alpha2,expid,column
2.1,0.532,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313,1,1
2.1,0.532,0.04,0.05,0.8,1,90,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313,2,1
2.1,0.532,0.04,0.05,0.8,1,30,35,ACN,0.5,2.5,2.51401146,0.44117918,1.984384706,4,1
2.1,0.532,0.04,0.05,0.8,1,90,35,ACN,0.5,2.5,2.51401146,0.44117918,1.984384706,5,1
2.1,0.532,0.04,0.05,0.8,1,30,35,MeOH,0.5,2.5,2.507084181,0.540905002,1.378751205,7,1
2.1,0.532,0.04,0.05,0.8,1,90,35,MeOH,0.5,2.5,2.507084181,0.540905002,1.378751205,8,1
2.1,0.532,0.04,0.05,0.8,1,30,25,MeOH,0.5,2.5,2.483991646,0.427925458,1.544093392,10,1
2.1,0.532,0.04,0.05,0.8,1,90,25,MeOH,0.5,2.5,2.483991646,0.427925458,1.544093392,11,1
2.1,0.532,0.04,0.05,0.8,2,30,25,ACN,0.5,3.3,3.402085252,0.827837635,1.678226411,13,1
2.1,0.532,0.04,0.05,0.8,2,90,25,ACN,0.5,3.3,3.402085252,0.827837635,1.678226411,14,1
2.1,0.532,0.04,0.05,0.8,2,30,35,ACN,0.5,3.3,3.431360715,0.732910999,1.783249438,15,1
2.1,0.532,0.04,0.05,0.8,2,90,35,ACN,0.5,3.3,3.431360715,0.732910999,1.783249438,16,1
2.1,0.532,0.04,0.05,0.8,2,30,35,MeOH,0.5,3.3,3.428674628,0.56586591,1.499432366,17,1
2.1,0.532,0.04,0.05,0.8,2,90,35,MeOH,0.5,3.3,3.428674628,0.56586591,1.499432366,18,1
2.1,0.532,0.04,0.05,0.8,2,30,25,MeOH,0.5,3.3,3.398003106,0.569104637,1.528478098,19,1
2.1,0.532,0.04,0.05,0.8,2,90,25,MeOH,0.5,3.3,3.398003106,0.569104637,1.528478098,20,1
2.1,0.532,0.04,0.05,0.8,6,30,25,ACN,0.5,6.8,6.843701939,5.607648067,-4.363949877,21,1
2.1,0.532,0.04,0.05,0.8,6,90,25,ACN,0.5,6.8,6.843701939,5.607648067,-4.363949877,22,1
2.1,0.532,0.04,0.05,0.8,6,30,35,ACN,0.5,6.8,7.331219342,4.377803363,-4.147477777,23,1
2.1,0.532,0.04,0.05,0.8,6,90,35,ACN,0.5,6.8,7.331219342,4.377803363,-4.147477777,24,1
2.1,0.532,0.04,0.05,0.8,6,30,35,MeOH,0.5,6.8,7.356560458,2.760847167,-1.664624612,25,1
2.1,0.532,0.04,0.05,0.8,6,90,35,MeOH,0.5,6.8,7.356560458,2.760847167,-1.664624612,26,1
2.1,0.532,0.04,0.05,0.8,6,30,25,MeOH,0.5,6.8,6.810815037,5.245734176,-3.899368105,27,1
2.1,0.532,0.04,0.05,0.8,6,90,25,MeOH,0.5,6.8,6.810815037,5.245734176,-3.899368105,28,1
2.1,0.532,0.04,0.05,0.8,9,30,25,ACN,0.5,10.5,10.50294902,-0.93599336,-0.295019814,29,1
2.1,0.532,0.04,0.05,0.8,9,90,25,ACN,0.5,10.5,10.50294902,-0.93599336,-0.295019814,30,1
2.1,0.532,0.04,0.05,0.8,9,30,35,ACN,0.5,10.5,10.19581397,-1.481198458,0.601156688,32,1
2.1,0.532,0.04,0.05,0.8,9,90,35,ACN,0.5,10.5,10.19581397,-1.481198458,0.601156688,33,1
2.1,0.532,0.04,0.05,0.8,9,30,35,MeOH,0.5,10.5,10.19098961,-0.834246546,-0.0849095,35,1
2.1,0.532,0.04,0.05,0.8,9,90,35,MeOH,0.5,10.5,10.19098961,-0.834246546,-0.0849095,36,1
2.1,0.532,0.04,0.05,0.8,9,30,25,MeOH,0.5,10.5,10.51736907,-0.675014459,-0.160843954,38,1
2.1,0.532,0.04,0.05,0.8,9,90,25,MeOH,0.5,10.5,10.51736907,-0.675014459,-0.160843954,39,1
2.1,0.532,0.04,0.05,0.8,4,30,25,ACN,0.5,4.9,4.938005248,1.582969905,1.32742851,41,1
2.1,0.532,0.04,0.05,0.8,4,90,25,ACN,0.5,4.9,4.938005248,1.582969905,1.32742851,42,1
2.1,0.532,0.04,0.05,0.8,4,30,35,ACN,0.5,4.9,4.957298383,1.527431723,1.273792439,43,1
2.1,0.532,0.04,0.05,0.8,4,90,35,ACN,0.5,4.9,4.957298383,1.527431723,1.273792439,44,1
2.1,0.532,0.04,0.05,0.8,4,30,35,MeOH,0.5,4.9,4.947207883,0.956624183,1.468137517,45,1
2.1,0.532,0.04,0.05,0.8,4,90,35,MeOH,0.5,4.9,4.947207883,0.956624183,1.468137517,46,1
2.1,0.532,0.04,0.05,0.8,4,30,25,MeOH,0.5,4.9,4.928444897,0.953816001,1.562000643,47,1
2.1,0.532,0.04,0.05,0.8,4,90,25,MeOH,0.5,4.9,4.928444897,0.953816001,1.562000643,48,1
2.1,0.532,0.04,0.05,0.8,5,30,25,ACN,0.5,5.8,5.777101853,1.820293456,0.420092107,49,1
2.1,0.532,0.04,0.05,0.8,5,90,25,ACN,0.5,5.8,5.777101853,1.820293456,0.420092107,50,1
2.1,0.532,0.04,0.05,0.8,5,30,35,ACN,0.5,5.8,5.791393917,1.877822641,0.066980829,52,1
2.1,0.532,0.04,0.05,0.8,5,90,35,ACN,0.5,5.8,5.791393917,1.877822641,0.066980829,53,1
2.1,0.532,0.04,0.05,0.8,5,30,35,MeOH,0.5,5.8,5.838223734,0.137227161,2.020370569,55,1
2.1,0.532,0.04,0.05,0.8,5,90,35,MeOH,0.5,5.8,5.838223734,0.137227161,2.020370569,56,1
2.1,0.532,0.04,0.05,0.8,5,30,25,MeOH,0.5,5.8,5.817304809,0.089027525,2.270643676,58,1
2.1,0.532,0.04,0.05,0.8,5,90,25,MeOH,0.5,5.8,5.817304809,0.089027525,2.270643676,59,1
2.1,0.532,0.04,0.05,0.8,7,30,25,ACN,0.5,8.9,8.875880368,-0.911375174,-0.431380529,61,1
2.1,0.532,0.04,0.05,0.8,7,90,25,ACN,0.5,8.9,8.875880368,-0.911375174,-0.431380529,62,1
2.1,0.532,0.04,0.05,0.8,7,30,35,ACN,0.5,8.9,8.568016494,-1.119237442,-0.228081825,63,1
2.1,0.532,0.04,0.05,0.8,7,90,35,ACN,0.5,8.9,8.568016494,-1.119237442,-0.228081825,64,1
2.1,0.532,0.04,0.05,0.8,7,30,35,MeOH,0.5,8.9,8.58001553,-1.194476813,0.442390489,65,1
